hybrid reset particles  hybrid_init  v/=4:
McTwo/ionosphere.txt  10/34  0.9146666666666666   0.8679245283018868
McTwo/ionosphere.txt  7/34  0.9103333333333333   0.8301886792452831
hybrid reset particles  hybrid_init  v/=4:      100*30
McTwo/ionosphere.txt  5/34  0.9471666666666666   0.7452830188679245
McTwo/ionosphere.txt  4/34  0.9428333333333333   0.7830188679245284
McTwo/ionosphere.txt  4/34  0.9511666666666667   0.7924528301886793
hybrid reset particles  hybrid_init  v/=4:      30*30
McTwo/ionosphere.txt  7/34  0.9180000000000001   0.8113207547169812
McTwo/ionosphere.txt  9/34  0.9305   0.839622641509434
McTwo/ionosphere.txt  7/34  0.9188333333333333   0.8962264150943396
McTwo/ionosphere.txt  4/34  0.9186666666666667   0.8867924528301887
McTwo/ionosphere.txt  4/34  0.9226666666666666   0.8679245283018868
McTwo/ionosphere.txt  8/34  0.9271666666666668   0.7924528301886793
McTwo/ionosphere.txt  4/34  0.9429999999999998   0.7924528301886793
McTwo/ionosphere.txt  4/34  0.923   0.8207547169811321
McTwo/ionosphere.txt  9/34  0.9425000000000001   0.7924528301886793
McTwo/ionosphere.txt  7/34  0.9343333333333332   0.8018867924528302
hybrid reset particles  hybrid_init  v/=4:
hybrid reset particles  hybrid_init  v/=4:
hybrid reset particles  hybrid_init  v/=4:
McTwo/DrivFace.txt  1873/6400  0.966888150609081   0.9615384615384616
McTwo/isolet5.txt  223/617  0.8332026688907422   0.8012820512820513
McTwo/LSVT.txt  49/310  0.8208333333333332   0.6842105263157895
McTwo/movement_libras.txt  33/90  0.7533846153846153   0.6146788990825688
McTwo/MUSK1.txt  66/166  0.9248663101604278   0.8671328671328671
McTwo/Sonar.txt  19/60  0.8690476190476192   0.7619047619047619
hybrid reset particles  hybrid_init  v/=4:
McTwo/DrivFace.txt  1424/6400  0.9645625692137321   0.9505494505494505
hybrid reset particles  hybrid_init  v/=4:
McTwo/isolet5.txt  233/617  0.8533444537114262   0.8205128205128205
McTwo/LSVT.txt  81/310  0.9097222222222221   0.8947368421052632
McTwo/movement_libras.txt  35/90  0.733076923076923   0.7155963302752294
hybrid reset particles  hybrid_init  v/=4:
hybrid reset particles  hybrid_init  v/=4:
McTwo/isolet5.txt  136/617  0.85976647206005   0.8034188034188035
McTwo/LSVT.txt  41/310  0.9111111111111111   0.8421052631578947
McTwo/movement_libras.txt  15/90  0.7206153846153845   0.6788990825688074
McTwo/isolet5.txt  101/617  0.8661801501251041   0.7905982905982906
McTwo/LSVT.txt  16/310  0.9333333333333333   0.8947368421052632
McTwo/movement_libras.txt  21/90  0.7529230769230769   0.7247706422018348
McTwo/isolet5.txt  107/617  0.8625187656380315   0.8012820512820513
McTwo/LSVT.txt  40/310  0.9333333333333333   0.8421052631578947
McTwo/movement_libras.txt  18/90  0.7655384615384614   0.6238532110091743
McTwo/isolet5.txt  126/617  0.8533944954128441   0.7991452991452992
McTwo/LSVT.txt  48/310  0.9097222222222221   0.8421052631578947
McTwo/movement_libras.txt  22/90  0.7133846153846154   0.6880733944954128
McTwo/isolet5.txt  102/617  0.8744036697247706   0.7606837606837606
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/CNAE-9.txt  1/856  0.11771929824561403   0.12962962962962962
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/CNAE-9.txt  397/856  0.9219824561403508   0.8765432098765432
McTwo/DrivFace.txt  177/6400  0.9952934662236987   0.9835164835164835
McTwo/gisette_valid.txt  1346/5000  0.9557142857142858   0.92
McTwo/heart.txt  5/13  0.872514619883041   0.7901234567901234
McTwo/ionosphere.txt  8/34  0.9468333333333334   0.8773584905660378
McTwo/isolet5.txt  173/617  0.9092910758965805   0.8717948717948718
McTwo/LSVT.txt  7/310  0.9222222222222222   0.7894736842105263
McTwo/movement_libras.txt  20/90  0.8329230769230769   0.8256880733944955
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/CNAE-9.txt  570/856  0.9047719298245612   0.8919753086419753
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/DrivFace.txt  148/6400  0.9952934662236987   0.978021978021978
McTwo/gisette_valid.txt  1265/5000  0.9585714285714287   0.93
McTwo/heart.txt  5/13  0.8783625730994153   0.9259259259259259
McTwo/ionosphere.txt  8/34  0.9550000000000001   0.9433962264150944
McTwo/isolet5.txt  127/617  0.9275896580483736   0.9123931623931624
McTwo/LSVT.txt  9/310  0.898611111111111   0.868421052631579
McTwo/movement_libras.txt  20/90  0.8444615384615384   0.7981651376146789
McTwo/MUSK1.txt  37/166  0.9131016042780751   0.8321678321678322
McTwo/SCADI.txt  6/205  0.96   0.9523809523809523
McTwo/segmentation.txt  7/19  0.9635150678628941   0.9696969696969697
McTwo/Sonar.txt  9/60  0.9257142857142858   0.9365079365079365
McTwo/wine.txt  3/13  0.9756410256410257   1.0
McTwo/DrivFace.txt  317/6400  1.0   0.9945054945054945
McTwo/gisette_valid.txt  920/5000  0.9657142857142859   0.9433333333333334
McTwo/heart.txt  4/13  0.8681286549707602   0.8024691358024691
McTwo/ionosphere.txt  8/34  0.9435   0.9433962264150944
McTwo/isolet5.txt  111/617  0.911092577147623   0.8995726495726496
McTwo/LSVT.txt  18/310  0.9319444444444445   0.8947368421052632
McTwo/movement_libras.txt  19/90  0.8684615384615384   0.8532110091743119
McTwo/MUSK1.txt  37/166  0.937344028520499   0.8881118881118881
McTwo/SCADI.txt  7/205  0.96   0.8571428571428571
McTwo/segmentation.txt  5/19  0.9721723794187562   0.9696969696969697
McTwo/Sonar.txt  12/60  0.9247619047619049   0.9206349206349206
McTwo/wine.txt  4/13  0.9525641025641025   0.9074074074074074
McTwo/DrivFace.txt  108/6400  1.0   0.9945054945054945



hybrid reset particles  hybrid_init  v/=4:
McTwo/DrivFace.txt  265/6400  0.9621816168327797   0.9505494505494505
McTwo/Hill_Valley.txt  18/100  0.6344117647058823   0.5082417582417582
hybrid reset particles  hybrid_init  v/=4:
McTwo/DrivFace.txt  362/6400  0.9717054263565892   0.9615384615384616
McTwo/Hill_Valley.txt  17/100  0.6379551820728291   0.5659340659340659
McTwo/isolet5.txt  107/617  0.8634445371142618   0.8333333333333334
McTwo/LSVT.txt  48/310  0.9222222222222222   0.8421052631578947
McTwo/movement_libras.txt  17/90  0.7492307692307691   0.6880733944954128
McTwo/Multiple Features.txt  164/649  0.9842857142857142   0.9816666666666667
McTwo/MUSK1.txt  42/166  0.903921568627451   0.9230769230769231
McTwo/Sonar.txt  15/60  0.8909523809523809   0.873015873015873
McTwo/Urban.txt  26/147  0.8474734042553191   0.8472906403940886


Mic reset particles  Mic_init  v/=4:
McTwo/DrivFace.txt  500/6400  0.9787929125138428   0.9615384615384616
McTwo/Hill_Valley.txt  20/100  0.6132773109243697   0.6043956043956044
McTwo/isolet5.txt  103/617  0.867998331943286   0.844017094017094
McTwo/LSVT.txt  82/310  0.9   0.7105263157894737
McTwo/movement_libras.txt  27/90  0.7289230769230769   0.6880733944954128
McTwo/Multiple Features.txt  135/649  0.9842857142857143   0.98
McTwo/MUSK1.txt  46/166  0.9068627450980392   0.9020979020979021
McTwo/Sonar.txt  14/60  0.9442857142857145   0.746031746031746
McTwo/Urban.txt  18/147  0.8518617021276593   0.8472906403940886
McTwo/DrivFace.txt  380/6400  0.9717054263565892   0.9560439560439561
